Product code,Product,Tahun,Ina Value,World Value,RCA 
0902,"Tea, whether or not flavoured",2017,2282,177327,0.49
0604,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses ...",2017,1687,70200,0.91
0714,"Roots and tubers of manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar ...",2017,5915,91574,2.44
1302,"Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other ...",2017,7080,332179,0.81
0908,"Nutmeg, mace and cardamoms",2017,6325,12603,18.96
1520,"Glycerol, crude; glycerol waters and glycerol lyes",2017,1947,5378,13.68
1516,"Animal or vegetable fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, ...",2017,8600,65601,4.95
0904,Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum or of the ...,2017,7723,126868,2.30
0710,"Vegetables, uncooked or cooked by steaming or boiling in water, frozen",2017,14109,902834,0.59
0901,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes ...",2017,82420,1431983,2.17
1513,"""Coconut """"copra"""", palm kernel or babassu oil and fractions thereof, whether or not refined, ...",2017,78273,180390,16.39
1511,"Palm oil and its fractions, whether or not refined (excluding chemically modified)",2017,136595,529096,9.75
1404,"Vegetable products, n.e.s.",2017,79409,123903,24.21
0807,"Melons, incl. watermelons, and papaws (papayas), fresh",2018,3,30654,0.00
0903,Mate,2018,0,355,0.00
1001,Wheat and meslin,2018,0,1640601,0.00
1210,"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin",2018,0,46674,0.00
0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled",2018,0,86772,0.00
0809,"Apricots, cherries, peaches incl. nectarines, plums and sloes, fresh",2018,0,36423,0.00
1104,"Cereal grains otherwise worked, e.g. hulled, rolled, flaked, pearled, sliced or kibbled; germ ...",2018,29,40424,0.03
1214,"Swedes, mangolds, fodder roots, hay, alfalfa, clover, sainfoin, forage kale, lupines, vetches ...",2018,0,779579,0.00
1502,"Fats of bovine animals, sheep or goats (excluding oil and oleostearin)",2018,0,16060,0.00
0701,"Potatoes, fresh or chilled",2018,0,15751,0.00
0806,"Grapes, fresh or dried",2018,0,222575,0.00
0812,"Fruit and nuts, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur ...",2018,0,48147,0.00
1509,Olive oil and its fractions obtained from the fruit of the olive tree solely by mechanical ...,2018,0,318829,0.00
1514,"Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically ...",2018,0,20720,0.00
1521,"Vegetable waxes, beeswax, other insect waxes and spermaceti, whether or not refined or coloured ...",2018,99,29546,0.13
0702,"Tomatoes, fresh or chilled",2018,0,34169,0.00
